> ⛔ **2026-09-13 重驗後仍不可用。**
> 收割期實驗的逐列資料；舊資料集年代 => 作廢。
> 現行權威：`../研究總覽_v2.md`。

date,run,block,psnr,ssim,lpips
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,16,22.058238983154297,0.6209349036216736,0.5879367589950562
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,17,25.646692276000977,0.6720712184906006,0.5073187351226807
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,18,26.45652961730957,0.700603723526001,0.5069918036460876
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,19,23.816743850708008,0.6939829587936401,0.46312153339385986
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,2,24.91207504272461,0.7431390881538391,0.4167652130126953
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,20,22.73630142211914,0.707097589969635,0.5809986591339111
2026-06-01,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,21,24.39922523498535,0.6631911396980286,0.6322404146194458
2026-06-01,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,22,21.752910614013672,0.6392651200294495,0.668904185295105
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,23,22.238574981689453,0.6686180830001831,0.6058024168014526
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,24,25.408897399902344,0.712236225605011,0.49254879355430603
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,3,20.07543182373047,0.6729719638824463,0.5485759377479553
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,4,26.42436408996582,0.7504324316978455,0.4267430901527405
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,5,22.712440490722656,0.6766127943992615,0.608430027961731
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,6,23.030254364013672,0.6228477954864502,0.6871814727783203
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,7,20.241178512573242,0.5754621624946594,0.5584707260131836
2026-06-02,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,8,20.303226470947266,0.5894086360931396,0.5954619646072388
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,9,26.32928466796875,0.8474062085151672,0.28697919845581055
2026-06-05,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim_with_less_densify_threshold,7,20.689180374145508,0.6209328770637512,0.4848240315914154
2026-06-05,RTG_s10_mc_no_freeze_no_b3_no_ADDM_aerial_sh2_trim,16,21.944847106933594,0.6135869026184082,0.6167562007904053
2026-06-05,RTG_s10_mc_no_freeze_no_b3_no_ADDM_aerial_sh2_trim,7,20.08440589904785,0.5634531378746033,0.5856894850730896
2026-03-27,aerial_test_block_1_test,,,,
2026-04-10,aerial_train_block_all,0,,,
2026-04-10,aerial_train_block_all,24,,,
2026-05-10,aerial_train_block_all,,,,
2026-04-06,aerial_train_block_all_3x,,18.342214584350586,0.5928583145141602,0.5843842625617981
2026-06-23,atom_n1_lam002_b7,7,21.80719757080078,0.6528748273849487,0.4626539945602417
2026-06-24,atom_n2_lam005_b7,7,21.7907657623291,0.6492384076118469,0.4682343006134033
2026-06-24,atom_n3_lam015_b7,7,21.586448669433594,0.6390851140022278,0.48093903064727783
2026-06-24,atom_n4_lam005_q4_b7,7,21.862768173217773,0.6509566903114319,0.46599793434143066
2026-07-28,churn_reg002_b12,12,11.609768867492676,0.34368547797203064,0.9411860108375549
2026-06-30,citygs_ft60k_coarse3x,7,24.163105010986328,0.6663914322853088,0.4535958170890808
2026-06-26,citygsv2_b7_faithful,7,21.780881881713867,0.5599018335342407,0.6594517827033997
2026-04-10,citygsv2_mc_aerial_sh0_trim,0,29.72577476501465,0.8629401922225952,0.20979784429073334
2026-04-10,citygsv2_mc_aerial_sh0_trim,1,27.587759017944336,0.7976680994033813,0.31382790207862854
2026-04-12,citygsv2_mc_aerial_sh0_trim,10,27.543075561523438,0.7913128733634949,0.30843207240104675
2026-04-12,citygsv2_mc_aerial_sh0_trim,11,27.431509017944336,0.8001859784126282,0.28374966979026794
2026-04-12,citygsv2_mc_aerial_sh0_trim,12,27.794443130493164,0.8378042578697205,0.20439746975898743
2026-04-12,citygsv2_mc_aerial_sh0_trim,13,28.26201820373535,0.8519765734672546,0.19172720611095428
2026-04-12,citygsv2_mc_aerial_sh0_trim,14,30.188983917236328,0.9016558527946472,0.13452278077602386
2026-04-13,citygsv2_mc_aerial_sh0_trim,15,31.162513732910156,0.893432080745697,0.17583510279655457
